Sieving τ up to 5,000,000 ...
Sieve done in 4.99s
Baseline verified: g(23) = 26 = 24+2 ✓

  New min δ: n=25, g(n-1)=32, δ=7
  New min δ: n=26, g(n-1)=32, δ=6
  New min δ: n=27, g(n-1)=32, δ=5
  New min δ: n=28, g(n-1)=32, δ=4
  New min δ: n=35, g(n-1)=38, δ=3

Search complete up to n=5,000,000
Solutions found (n>24): 0
Minimum δ(n) achieved for n>24: 3

Sample of δ values for early n > 24:
  n= 25  g(n-1)=   32  δ=  7
  n= 26  g(n-1)=   32  δ=  6
  n= 27  g(n-1)=   32  δ=  5
  n= 28  g(n-1)=   32  δ=  4
  n= 29  g(n-1)=   34  δ=  5
  n= 30  g(n-1)=   34  δ=  4
  n= 31  g(n-1)=   38  δ=  7
  n= 32  g(n-1)=   38  δ=  6
  n= 33  g(n-1)=   38  δ=  5
  n= 34  g(n-1)=   38  δ=  4
  n= 35  g(n-1)=   38  δ=  3
  n= 36  g(n-1)=   39  δ=  3
  n= 37  g(n-1)=   45  δ=  8
  n= 38  g(n-1)=   45  δ=  7
  n= 39  g(n-1)=   45  δ=  6
  n= 40  g(n-1)=   45  δ=  5
  n= 41  g(n-1)=   48  δ=  7
  n= 42  g(n-1)=   48  δ=  6
  n= 43  g(n-1)=   50  δ=  7
  n= 44  g(n-1)=   50  δ=  6
  n= 45  g(n-1)=   50  δ=  5
  n= 46  g(n-1)=   51  δ=  5
  n= 47  g(n-1)=   51  δ=  4
  n= 48  g(n-1)=   51  δ=  3
  n= 49  g(n-1)=   58  δ=  9
  n= 50  g(n-1)=   58  δ=  8
  n= 51  g(n-1)=   58  δ=  7
  n= 52  g(n-1)=   58  δ=  6
  n= 53  g(n-1)=   58  δ=  5
  n= 54  g(n-1)=   58  δ=  4
  n= 55  g(n-1)=   62  δ=  7
  n= 56  g(n-1)=   62  δ=  6
  n= 57  g(n-1)=   64  δ=  7
  n= 58  g(n-1)=   64  δ=  6
  n= 59  g(n-1)=   64  δ=  5
  n= 60  g(n-1)=   64  δ=  4
  n= 61  g(n-1)=   72  δ= 11
  n= 62  g(n-1)=   72  δ= 10
  n= 63  g(n-1)=   72  δ=  9
  n= 64  g(n-1)=   72  δ=  8
  n= 65  g(n-1)=   72  δ=  7
  n= 66  g(n-1)=   72  δ=  6
  n= 67  g(n-1)=   74  δ=  7
  n= 68  g(n-1)=   74  δ=  6
  n= 69  g(n-1)=   74  δ=  5
  n= 70  g(n-1)=   74  δ=  4
  n= 71  g(n-1)=   78  δ=  7
  n= 72  g(n-1)=   78  δ=  6
  n= 73  g(n-1)=   84  δ= 11
  n= 74  g(n-1)=   84  δ= 10
  n= 75  g(n-1)=   84  δ=  9
  n= 76  g(n-1)=   84  δ=  8
  n= 77  g(n-1)=   84  δ=  7
  n= 78  g(n-1)=   84  δ=  6
  n= 79  g(n-1)=   86  δ=  7
  n= 80  g(n-1)=   86  δ=  6
